ema_distance_threshold,volume_ratio_threshold,rsi_threshold,trades,winrate,avg_R,profit_factor,max_drawdown,suspicious_abs_avg_r,suspicious_pf,suspicious_low_trades,valid,scan_id
0.0002,1.0,50,9980,42.83567134268537,-0.04890385416020054,0.9588012455678437,574.1794327485401,False,False,False,True,ea708839
0.0002,1.0,55,8692,42.211228716060745,-0.07446818380193673,0.9375943686810986,705.9853152024943,False,False,False,True,ea708839
0.0002,1.0,60,6917,42.02689027034842,-0.08049324441340437,0.9319201488606815,567.5389263649425,False,False,False,True,ea708839
0.0002,1.2,45,10690,43.049579045837234,-0.04390751996587529,0.9629853974967766,561.6601296761168,False,False,False,True,ea708839
0.0002,1.2,50,9980,42.83567134268537,-0.04890385416020054,0.9588012455678437,574.1794327485401,False,False,False,True,ea708839
0.0002,1.2,55,8692,42.211228716060745,-0.07446818380193673,0.9375943686810986,705.9853152024943,False,False,False,True,ea708839
0.0002,1.2,60,6917,42.02689027034842,-0.08049324441340437,0.9319201488606815,567.5389263649425,False,False,False,True,ea708839
0.0002,1.4,45,8403,42.092109960728315,-0.09639137667055435,0.9221373958918166,864.2803909272495,False,False,False,True,ea708839
0.0002,1.4,50,7878,41.914191419141915,-0.09997022733278396,0.9191032479045463,857.19599575965,False,False,False,True,ea708839
0.0002,1.4,55,6957,41.368405922092855,-0.12141207550566148,0.9019554583885168,887.3835534018203,False,False,False,True,ea708839
0.0002,1.4,60,5585,41.02059086839749,-0.13974823861353342,0.8871646139031926,808.162228921522,False,False,False,True,ea708839
0.0003,0.8,45,9088,42.79269366197183,-0.05400291232019868,0.9534844382461999,582.2430512777776,False,False,False,True,ea708839
0.0003,0.8,50,8579,42.510782142440846,-0.06699857886822772,0.9424850656364373,649.8364803526624,False,False,False,True,ea708839
0.0003,0.8,55,7589,42.04770061931743,-0.08660157744750559,0.9261316358457122,710.6723452884612,False,False,False,True,ea708839
0.0003,0.8,60,6185,41.762328213419565,-0.10490734088559121,0.9105408240819938,665.483410103679,False,False,False,True,ea708839
0.0003,1.0,45,9088,42.79269366197183,-0.05400291232019868,0.9534844382461999,582.2430512777776,False,False,False,True,ea708839
0.0003,1.0,50,8579,42.510782142440846,-0.06699857886822772,0.9424850656364373,649.8364803526624,False,False,False,True,ea708839
0.0003,1.0,55,7589,42.04770061931743,-0.08660157744750559,0.9261316358457122,710.6723452884612,False,False,False,True,ea708839
0.0003,1.0,60,6185,41.762328213419565,-0.10490734088559121,0.9105408240819938,665.483410103679,False,False,False,True,ea708839
0.0003,1.2,45,9088,42.79269366197183,-0.05400291232019868,0.9534844382461999,582.2430512777776,False,False,False,True,ea708839
0.0003,1.2,50,8579,42.510782142440846,-0.06699857886822772,0.9424850656364373,649.8364803526624,False,False,False,True,ea708839
0.0003,1.2,55,7589,42.04770061931743,-0.08660157744750559,0.9261316358457122,710.6723452884612,False,False,False,True,ea708839
0.0003,1.2,60,6185,41.762328213419565,-0.10490734088559121,0.9105408240819938,665.483410103679,False,False,False,True,ea708839
