ema_distance_threshold,volume_ratio_threshold,rsi_threshold,trades,winrate,avg_R,profit_factor,max_drawdown,scan_id
0.0002,0.8,60,13632,41.938086854460096,-0.07114957332127429,0.9407639807130228,1064.8234741494337,0114253c
0.0002,1.0,45,20474,42.52222330760965,-0.07122929778147309,0.9416139067513922,1595.878414356805,0114253c
0.0002,1.0,50,19178,42.31410991761393,-0.07815761778570295,0.9360749611908308,1623.896648166273,0114253c
0.0002,1.0,55,16868,41.87218401707375,-0.0917418477930893,0.9249662752097343,1671.3033100242335,0114253c
0.0002,1.0,60,13632,41.938086854460096,-0.07114957332127429,0.9407639807130228,1064.8234741494337,0114253c
0.0002,1.2,45,20474,42.52222330760965,-0.07122929778147309,0.9416139067513922,1595.878414356805,0114253c
0.0002,1.2,50,19178,42.31410991761393,-0.07815761778570295,0.9360749611908308,1623.896648166273,0114253c
0.0002,1.2,55,16868,41.87218401707375,-0.0917418477930893,0.9249662752097343,1671.3033100242335,0114253c
0.0002,1.2,60,13632,41.938086854460096,-0.07114957332127429,0.9407639807130228,1064.8234741494337,0114253c
0.0002,1.4,45,16201,41.97889019196346,-0.10229271942790337,0.9185318442421552,1753.6884312931602,0114253c
0.0002,1.4,50,15232,41.806722689075634,-0.10951482129009824,0.9128368355774855,1769.2460193417091,0114253c
0.0002,1.4,55,13537,41.39026372165177,-0.1221029309993769,0.9027196062272109,1747.0005226299354,0114253c
0.0002,1.4,60,11037,41.48772311316481,-0.10100130705897879,0.9183335758460717,1238.0157196125397,0114253c
0.0003,0.8,45,17331,42.34031504240956,-0.06584041305054142,0.9446047953424668,1306.3191433678774,0114253c
0.0003,0.8,50,16412,42.1033390202291,-0.078852172536969,0.933979348721622,1461.3487856434563,0114253c
0.0003,0.8,55,14659,41.776383109352615,-0.0888149764994409,0.9257194412084494,1422.2215284158547,0114253c
0.0003,0.8,60,12107,41.75270504666722,-0.08046665198765678,0.9319899197736345,1123.8432531313447,0114253c
0.0003,1.0,45,17331,42.34031504240956,-0.06584041305054142,0.9446047953424668,1306.3191433678774,0114253c
0.0003,1.0,50,16412,42.1033390202291,-0.078852172536969,0.933979348721622,1461.3487856434563,0114253c
0.0003,1.0,55,14659,41.776383109352615,-0.0888149764994409,0.9257194412084494,1422.2215284158547,0114253c
0.0003,1.0,60,12107,41.75270504666722,-0.08046665198765678,0.9319899197736345,1123.8432531313447,0114253c
0.0003,1.2,45,17331,42.34031504240956,-0.06584041305054142,0.9446047953424668,1306.3191433678774,0114253c
0.0003,1.2,50,16412,42.1033390202291,-0.078852172536969,0.933979348721622,1461.3487856434563,0114253c
0.0003,1.2,55,14659,41.776383109352615,-0.0888149764994409,0.9257194412084494,1422.2215284158547,0114253c
0.0003,1.2,60,12107,41.75270504666722,-0.08046665198765678,0.9319899197736345,1123.8432531313447,0114253c
0.0003,1.4,45,13862,41.84100418410041,-0.09312709914698412,0.9238129369188827,1386.376431695745,0114253c
0.0003,1.4,50,13173,41.607834206331134,-0.10681284172891689,0.9128920124339555,1529.1396597623238,0114253c
0.0003,1.4,55,11883,41.31953210468737,-0.11540635607278481,0.9058785238727659,1474.8887704647304,0114253c
0.0003,1.4,60,9892,41.316215123331986,-0.10790129287479842,0.9112867621088783,1236.455104640462,0114253c
0.0004,0.8,45,14593,42.2668402658809,-0.0650158072069761,0.9440089890179517,1120.3071509908693,0114253c
0.0004,0.8,50,13925,42.01795332136445,-0.08101564100256264,0.9307243266118324,1275.3069090106876,0114253c
0.0004,0.8,55,12584,41.64812460267006,-0.086823047452711,0.925676226637959,1206.967465193041,0114253c
0.0004,0.8,60,10612,41.58499811534112,-0.07856103941007189,0.931981522081626,932.9152543746237,0114253c
0.0004,1.0,45,14593,42.2668402658809,-0.0650158072069761,0.9440089890179517,1120.3071509908693,0114253c
0.0004,1.0,50,13925,42.01795332136445,-0.08101564100256264,0.9307243266118324,1275.3069090106876,0114253c
0.0004,1.0,55,12584,41.64812460267006,-0.086823047452711,0.925676226637959,1206.967465193041,0114253c
0.0004,1.0,60,10612,41.58499811534112,-0.07856103941007189,0.931981522081626,932.9152543746237,0114253c
0.0004,1.2,45,14593,42.2668402658809,-0.0650158072069761,0.9440089890179517,1120.3071509908693,0114253c
