ema_distance_threshold,volume_ratio_threshold,rsi_threshold,trades,winrate,avg_R,profit_factor,max_drawdown,suspicious_abs_avg_r,suspicious_pf,suspicious_low_trades,valid,scan_id
0.0004,1.4,55,194,43.29896907216495,-0.06622246820812076,0.9505587402144007,48.42520880902863,False,False,False,True,32a72961
0.0004,1.4,60,162,42.592592592592595,-0.07555737380121555,0.943726651754813,52.037574001447645,False,False,False,True,32a72961
0.0005,0.8,45,233,44.20600858369099,-0.12479646072672054,0.8996673079440648,53.723113941875305,False,False,False,True,32a72961
0.0005,0.8,50,223,43.946188340807176,-0.11154200190039937,0.9107171914917876,56.29857638458232,False,False,False,True,32a72961
0.0005,0.8,55,202,44.554455445544555,-0.02786516400954619,0.9771193561925885,41.57892769073494,False,False,False,True,32a72961
0.0005,0.8,60,175,44.0,-0.09335648119865228,0.9256216924994546,36.60415803238619,False,False,False,True,32a72961
0.0005,1.0,45,233,44.20600858369099,-0.12479646072672054,0.8996673079440648,53.723113941875305,False,False,False,True,32a72961
0.0005,1.0,50,223,43.946188340807176,-0.11154200190039937,0.9107171914917876,56.29857638458232,False,False,False,True,32a72961
0.0005,1.0,55,202,44.554455445544555,-0.02786516400954619,0.9771193561925885,41.57892769073494,False,False,False,True,32a72961
0.0005,1.0,60,175,44.0,-0.09335648119865228,0.9256216924994546,36.60415803238619,False,False,False,True,32a72961
0.0005,1.2,45,233,44.20600858369099,-0.12479646072672054,0.8996673079440648,53.723113941875305,False,False,False,True,32a72961
0.0005,1.2,50,223,43.946188340807176,-0.11154200190039937,0.9107171914917876,56.29857638458232,False,False,False,True,32a72961
0.0005,1.2,55,202,44.554455445544555,-0.02786516400954619,0.9771193561925885,41.57892769073494,False,False,False,True,32a72961
0.0005,1.2,60,175,44.0,-0.09335648119865228,0.9256216924994546,36.60415803238619,False,False,False,True,32a72961
0.0005,1.4,45,175,45.714285714285715,0.103429767608118,1.0851098901011325,38.18820230449689,False,False,False,True,32a72961
0.0005,1.4,50,169,45.562130177514796,0.1258305420611648,1.1037470948086545,41.131884008555275,False,False,False,True,32a72961
0.0005,1.4,55,156,46.15384615384615,0.2254331291671115,1.1957448766695995,32.32947640271822,False,False,False,True,32a72961
0.0005,1.4,60,139,44.60431654676259,0.1484219295613702,1.1249070643979102,33.17413780082144,False,False,False,True,32a72961
