ema_distance_threshold,volume_ratio_threshold,rsi_threshold,trades,winrate,avg_R,profit_factor,max_drawdown
0.0003,1.0,50,139,42.44604316546763,-0.5265033195254399,0.6587202178172992,76.75718753271735
0.0003,1.0,55,130,42.30769230769231,-0.5367468968347062,0.6540011852884551,73.35032270719303
0.0003,1.0,60,108,41.66666666666667,-0.6504209781941407,0.5800576332949883,53.865451281577606
0.0003,1.2,45,152,44.07894736842105,-0.4198825469106609,0.7130730459372482,67.39537324910164
0.0003,1.2,50,139,42.44604316546763,-0.5265033195254399,0.6587202178172992,76.75718753271735
0.0003,1.2,55,130,42.30769230769231,-0.5367468968347062,0.6540011852884551,73.35032270719303
0.0003,1.2,60,108,41.66666666666667,-0.6504209781941407,0.5800576332949883,53.865451281577606
0.0003,1.4,45,108,47.22222222222222,-0.21186799915383167,0.8507985540495868,37.29955448556621
0.0003,1.4,50,101,45.54455445544555,-0.3364166330335867,0.7767115018703612,37.55130605507345
0.0003,1.4,55,94,44.680851063829785,-0.3974992581843082,0.7444149791598724,40.93815638800617
0.0003,1.4,60,76,43.42105263157895,-0.5463886465313572,0.6487678775730765,46.78519168238472
0.0004,0.8,45,124,45.16129032258064,-0.5298622157653662,0.6491288850603092,69.27614087358661
0.0004,0.8,50,115,44.34782608695652,-0.5792774048057054,0.6302945486977404,70.19012767133734
0.0004,0.8,55,109,44.95412844036697,-0.5462594344629675,0.6510024107267954,63.11550447514466
0.0004,0.8,60,91,45.05494505494506,-0.5761609547263657,0.6241542764699671,39.20407164931202
0.0004,1.0,45,124,45.16129032258064,-0.5298622157653662,0.6491288850603092,69.27614087358661
0.0004,1.0,50,115,44.34782608695652,-0.5792774048057054,0.6302945486977404,70.19012767133734
0.0004,1.0,55,109,44.95412844036697,-0.5462594344629675,0.6510024107267954,63.11550447514466
0.0004,1.0,60,91,45.05494505494506,-0.5761609547263657,0.6241542764699671,39.20407164931202
0.0004,1.2,45,124,45.16129032258064,-0.5298622157653662,0.6491288850603092,69.27614087358661
0.0004,1.2,50,115,44.34782608695652,-0.5792774048057054,0.6302945486977404,70.19012767133734
0.0004,1.2,55,109,44.95412844036697,-0.5462594344629675,0.6510024107267954,63.11550447514466
0.0004,1.2,60,91,45.05494505494506,-0.5761609547263657,0.6241542764699671,39.20407164931202
0.0004,1.4,45,90,47.77777777777778,-0.26667859912473907,0.8108094519168816,29.236133376417996
0.0004,1.4,50,86,46.51162790697674,-0.3399706874579318,0.769052472093283,34.47253857657361
0.0004,1.4,55,81,46.913580246913575,-0.3180875259526576,0.7863953731425292,30.633258119571238
0.0004,1.4,60,67,46.26865671641791,-0.33351784979707294,0.7670879098824726,37.22955491713113
0.0005,0.8,45,98,48.97959183673469,-0.17644213302244743,0.8605420584871939,25.97892420202655
0.0005,0.8,50,91,48.35164835164835,-0.22394968670520776,0.8304625226822382,27.336625273667604
0.0005,0.8,55,85,49.411764705882355,-0.15652703875272045,0.8797320486216186,27.3366252736676
0.0005,0.8,60,77,49.35064935064935,-0.25931629375064214,0.8090385741620162,27.336625273667604
0.0005,1.0,45,98,48.97959183673469,-0.17644213302244743,0.8605420584871939,25.97892420202655
0.0005,1.0,50,91,48.35164835164835,-0.22394968670520776,0.8304625226822382,27.336625273667604
0.0005,1.0,55,85,49.411764705882355,-0.15652703875272045,0.8797320486216186,27.3366252736676
0.0005,1.0,60,77,49.35064935064935,-0.25931629375064214,0.8090385741620162,27.336625273667604
0.0005,1.2,45,98,48.97959183673469,-0.17644213302244743,0.8605420584871939,25.97892420202655
0.0005,1.2,50,91,48.35164835164835,-0.22394968670520776,0.8304625226822382,27.336625273667604
0.0005,1.2,55,85,49.411764705882355,-0.15652703875272045,0.8797320486216186,27.3366252736676
0.0005,1.2,60,77,49.35064935064935,-0.25931629375064214,0.8090385741620162,27.336625273667604
0.0005,1.4,45,70,52.85714285714286,0.24270017734232208,1.2271280636773243,25.97892420202656
0.0005,1.4,50,67,52.23880597014925,0.19197557181146063,1.1725674319805248,27.33662527366761
0.0005,1.4,55,62,53.2258064516129,0.2634637553320119,1.2382624180422186,27.33662527366761
0.0005,1.4,60,56,51.78571428571429,0.13879467182274377,1.1207032750432242,27.336625273667607
