ema_distance_threshold,volume_ratio_threshold,rsi_threshold,trades,winrate,avg_R,profit_factor,max_drawdown,scan_id
0.0004,1.6,55,2745,40.291438979963566,-0.13462579571067643,0.8941140771805329,467.0538745496866,3acf6689
0.0004,1.6,60,2328,40.034364261168385,-0.15045967432344262,0.8820275323547297,438.9763518686209,3acf6689
0.0006,0.8,40,3322,41.27031908488863,-0.08393948038942384,0.9268491255182411,457.53813556949507,3acf6689
0.0006,0.8,45,3285,41.308980213089804,-0.08159149283170992,0.9288845717458829,448.5060351315689,3acf6689
0.0006,0.8,50,3167,41.01673508051784,-0.10194167029070363,0.9119678257037687,451.45233045288614,3acf6689
0.0006,0.8,55,2909,40.770024063251974,-0.09710169425772949,0.9163380079771428,411.4816328728272,3acf6689
0.0006,0.8,60,2514,40.49323786793954,-0.11446046985237798,0.9016746264210477,377.1624282183263,3acf6689
0.0006,1.0,40,3322,41.27031908488863,-0.08393948038942384,0.9268491255182411,457.53813556949507,3acf6689
0.0006,1.0,45,3285,41.308980213089804,-0.08159149283170992,0.9288845717458829,448.5060351315689,3acf6689
0.0006,1.0,50,3167,41.01673508051784,-0.10194167029070363,0.9119678257037687,451.45233045288614,3acf6689
0.0006,1.0,55,2909,40.770024063251974,-0.09710169425772949,0.9163380079771428,411.4816328728272,3acf6689
0.0006,1.0,60,2514,40.49323786793954,-0.11446046985237798,0.9016746264210477,377.1624282183263,3acf6689
0.0006,1.2,40,3322,41.27031908488863,-0.08393948038942384,0.9268491255182411,457.53813556949507,3acf6689
0.0006,1.2,45,3285,41.308980213089804,-0.08159149283170992,0.9288845717458829,448.5060351315689,3acf6689
0.0006,1.2,50,3167,41.01673508051784,-0.10194167029070363,0.9119678257037687,451.45233045288614,3acf6689
0.0006,1.2,55,2909,40.770024063251974,-0.09710169425772949,0.9163380079771428,411.4816328728272,3acf6689
0.0006,1.2,60,2514,40.49323786793954,-0.11446046985237798,0.9016746264210477,377.1624282183263,3acf6689
0.0006,1.4,40,2716,40.68483063328424,-0.10235491295835909,0.9144796435654691,464.5888734372782,3acf6689
0.0006,1.4,45,2692,40.63893016344725,-0.1038619720418649,0.9133610481100479,464.6856588918087,3acf6689
0.0006,1.4,50,2605,40.230326295585414,-0.1308864144610033,0.8918208339423503,472.28610776756943,3acf6689
0.0006,1.4,55,2420,40.371900826446286,-0.10644483543461015,0.9110565902955721,411.8478018355441,3acf6689
0.0006,1.4,60,2110,39.95260663507109,-0.13892608620645222,0.8846864145147572,407.893432927233,3acf6689
0.0006,1.6,40,2285,40.70021881838075,-0.14502784627063708,0.8815595937755341,449.619364704587,3acf6689
0.0006,1.6,45,2264,40.63604240282685,-0.14657863189238382,0.8804413846059825,448.9106081094936,3acf6689
0.0006,1.6,50,2198,40.12738853503185,-0.17633685982338448,0.8579455127360502,475.47078554606895,3acf6689
0.0006,1.6,55,2050,40.09756097560976,-0.15718615378041875,0.8721235836369812,415.19064410721256,3acf6689
0.0006,1.6,60,1802,39.78912319644839,-0.1767083788863451,0.856703831400442,405.51278750282273,3acf6689
0.0008,0.8,40,2363,41.007194244604314,-0.09393398684255336,0.9167123870102875,352.548892568249,3acf6689
0.0008,0.8,45,2344,41.08361774744027,-0.09248334781416444,0.9179317009726337,338.82769470723076,3acf6689
0.0008,0.8,50,2283,40.82347787998248,-0.11161751502691572,0.9020979363214542,342.83520551160154,3acf6689
0.0008,0.8,55,2146,40.77353215284249,-0.10075541184594616,0.9117546717643757,320.44137564875,3acf6689
0.0008,0.8,60,1915,40.52219321148825,-0.1087641673665578,0.905124425930443,289.8887822729274,3acf6689
0.0008,1.0,40,2363,41.007194244604314,-0.09393398684255336,0.9167123870102875,352.548892568249,3acf6689
0.0008,1.0,45,2344,41.08361774744027,-0.09248334781416444,0.9179317009726337,338.82769470723076,3acf6689
0.0008,1.0,50,2283,40.82347787998248,-0.11161751502691572,0.9020979363214542,342.83520551160154,3acf6689
0.0008,1.0,55,2146,40.77353215284249,-0.10075541184594616,0.9117546717643757,320.44137564875,3acf6689
0.0008,1.0,60,1915,40.52219321148825,-0.1087641673665578,0.905124425930443,289.8887822729274,3acf6689
0.0008,1.2,40,2363,41.007194244604314,-0.09393398684255336,0.9167123870102875,352.548892568249,3acf6689
0.0008,1.2,45,2344,41.08361774744027,-0.09248334781416444,0.9179317009726337,338.82769470723076,3acf6689
0.0008,1.2,50,2283,40.82347787998248,-0.11161751502691572,0.9020979363214542,342.83520551160154,3acf6689
0.0008,1.2,55,2146,40.77353215284249,-0.10075541184594616,0.9117546717643757,320.44137564875,3acf6689
