ema_distance_threshold,volume_ratio_threshold,rsi_threshold,trades,winrate,avg_R,profit_factor,max_drawdown,scan_id
0.0003,1.0,45,666,45.94594594594595,0.31450595035823015,1.2891322772502782,43.034537795330635,3e1edc34
0.0003,1.0,50,630,46.34920634920635,0.3220572675985733,1.2926586953352093,45.15076265658422,3e1edc34
0.0003,1.0,55,570,45.614035087719294,0.2972074779069697,1.2648081260459663,44.80229215462282,3e1edc34
0.0003,1.0,60,473,46.30021141649049,0.3569581340008681,1.3178318160365612,57.40124955640397,3e1edc34
0.0003,1.2,45,666,45.94594594594595,0.31450595035823015,1.2891322772502782,43.034537795330635,3e1edc34
0.0003,1.2,50,630,46.34920634920635,0.3220572675985733,1.2926586953352093,45.15076265658422,3e1edc34
0.0003,1.2,55,570,45.614035087719294,0.2972074779069697,1.2648081260459663,44.80229215462282,3e1edc34
0.0003,1.2,60,473,46.30021141649049,0.3569581340008681,1.3178318160365612,57.40124955640397,3e1edc34
0.0003,1.4,45,528,46.02272727272727,0.34013683933622696,1.2961610794248877,39.32829837311403,3e1edc34
0.0003,1.4,50,503,46.12326043737575,0.3221028706929209,1.274909851690974,39.7454240829802,3e1edc34
0.0003,1.4,55,456,45.39473684210527,0.3085302972130026,1.257132224888176,43.14104988594667,3e1edc34
0.0003,1.4,60,382,46.07329842931937,0.39194453271182156,1.3327688393453836,55.90360093574182,3e1edc34
0.0004,0.8,45,566,46.28975265017668,0.30703456778087457,1.2913678853664583,41.809079134836615,3e1edc34
0.0004,0.8,50,538,46.468401486988846,0.2992217312068912,1.280835217255124,41.69215983840978,3e1edc34
0.0004,0.8,55,486,45.67901234567901,0.2845141721392274,1.2633095513415826,46.436110485526356,3e1edc34
0.0004,0.8,60,411,45.98540145985402,0.3158838622298447,1.29430635790878,49.5101327220662,3e1edc34
0.0004,1.0,45,566,46.28975265017668,0.30703456778087457,1.2913678853664583,41.809079134836615,3e1edc34
0.0004,1.0,50,538,46.468401486988846,0.2992217312068912,1.280835217255124,41.69215983840978,3e1edc34
0.0004,1.0,55,486,45.67901234567901,0.2845141721392274,1.2633095513415826,46.436110485526356,3e1edc34
0.0004,1.0,60,411,45.98540145985402,0.3158838622298447,1.29430635790878,49.5101327220662,3e1edc34
0.0004,1.2,45,566,46.28975265017668,0.30703456778087457,1.2913678853664583,41.809079134836615,3e1edc34
0.0004,1.2,50,538,46.468401486988846,0.2992217312068912,1.280835217255124,41.69215983840978,3e1edc34
0.0004,1.2,55,486,45.67901234567901,0.2845141721392274,1.2633095513415826,46.436110485526356,3e1edc34
